"subject","Position","Length","item","sentence","answer","reading"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","LFN",5,"후배가 모든 과자를 먹지 않았다.","즉%2C 과자가 8개 있었는데 후배가 그 중에 0개 먹은 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","LFN",3,"모든 동료가 상자를 버리지 않았다.","즉%2C 동료가 10명 있었는데 그 중에 0명이 상자를 버린 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","LFN",27,"모든 후배가 과제를 내지 않았다.","즉%2C 후배가 6명 있었는데 그 중에 0명이 낸 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","SFN",18,"동료가 모든 과자를 안 버렸다.","즉%2C 과자가 5개 있었는데 동료가 그 중에 0개 버린 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","LFN",19,"모든 고객이 상자를 사지 않았다.","즉%2C 고객이 5명 있었는데 그 중에 0명이 상자를 산 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","SFN",4,"모든 선배가 라면을 안 먹었다.","즉%2C 선배가 8명 있었는데 그 중에 0명이 라면을 먹은 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","LFN",21,"학생이 모든 책을 읽지 않았다.","즉%2C 책이 3권 있었는데 학생이 그 중에 0권 읽은 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","SFN",26,"동료가 모든 워크샵에 안 왔다.","즉%2C 워크샵이 7개 있었는데 그 중에 0곳에 온 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","LFN",23,"모든 친구가 컵을 사지 않았다.","즉%2C 친구가 7명 있었는데 그 중에 0명이 컵을 산 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","LFN",25,"선생님이 모든 시험문제를 만들지 않았다.","즉%2C 시험문제가 7개 있었는데 그 중에 4개 만든것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","SFN",14,"선배가 모든 과일을 안 먹었다.","즉%2C 과일이 4개 있었는데 선배가 그 중에 0개 먹은 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","LFN",32,"승무원이 모든 안내문을 읽지 않았다.","즉%2C 안내문이 3개 있었는데 그 중에 2개를 읽은 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","LFN",10,"모든 친구가 지우개를 사지 않았다.","즉%2C 친구가 3명 있었는데 그 중에 0명이 지우개를 산 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","SFN",7,"모든 손님이 가방을 안 샀다.","즉%2C 손님이 8명 있었는데 그 중에 0명이 가방을 산 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","LFN",6,"모든 직원이 신발을 팔지 않았다.","즉%2C 직원이 8명 있었는데 그 중에 5명이 신발을 판 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Object","LFN",12,"선생님이 모든 라면을 버리지 않았다.","즉%2C 라면이 3개 있었는데 선생님이 그 중에 0개 버린 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","LFN",20,"친구가 모든 의자를 팔지 않았다.","즉%2C 의자가 3개 있었는데 친구가 그 중에 0개 판 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","LFN",22,"모든 선배가 초콜릿을 먹지 않았다.","즉%2C 선배가 3명 있었는데 그 중에 0명이 초콜릿을 먹은 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","SFN",23,"모든 친구가 컵을 안 샀다.","즉%2C 친구가 7명 있었는데 그 중에 0명이 컵을 산 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","SFN",5,"후배가 모든 과자를 안 먹었다.","즉%2C 과자가 8개 있었는데 후배가 그 중에 5개 먹은 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Object","SFN",17,"손님이 모든 신발을 안 샀다.","즉%2C 신발이 5켤레 있었는데 손님이 그 중에 0켤레 산 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","LFN",14,"모든 선배가 과일을 먹지 않았다.","즉%2C 선배가 4명 있었는데 그 중에 0명이 과일을 먹은 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","SFN",13,"동료가 모든 포도를 안 버렸다.","즉%2C 포도가 4송이 있었는데 동료가 그 중에 3송이 버린 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","SFN",3,"모든 동료가 상자를 안 버렸다.","즉%2C 동료가 10명 있었는데 그 중에 6명이 상자를 버린 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Object","SFN",21,"학생이 모든 책을 안 읽었다.","즉%2C 책이 3권 있었는데 학생이 그 중에 0권 읽은 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","LFN",4,"선배가 모든 라면을 먹지 않았다.","즉%2C 라면이 8개 있었는데 선배가 그 중에 0개 먹은 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","LFN",24,"손님이 모든 잡지를 읽지 않았다.","즉%2C 잡지가 7개 있었는데 손님이 그 중에 4개 읽은 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","LFN",26,"모든 동료가 워크샵에 오지 않았다.","즉%2C 동료가 7명 있었는데 그 중에 4명이 온 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Object","LFN",28,"직원이 모든 회의록을 읽지 않았다.","즉%2C 회의록이 3개 있었는데 그 중에 2개 읽은 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","SFN",19,"모든 고객이 상자를 안 샀다.","즉%2C 고객이 5명 있었는데 그 중에 0명이 상자를 산 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","SFN",25,"선생님이 모든 시험문제를 안 만들었다.","즉%2C 시험문제가 7개 있었는데 그 중에 0개 만든것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","SFN",1,"학생이 모든 약을 안 먹었다.","즉%2C 약이 10개 있었는데 학생이 그 중에 0개 먹은 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","LFN",2,"모든 선생님이 옷을 사지 않았다.","즉%2C 선생님이 10명 있었는데 그 중에 0명이 옷을 산 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","SFN",31,"모든 상담원이 전화를 안 받았다.","즉%2C 상담원이 3명 있었는데 그 중에 0명이 전화를 받은 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","SFN",11,"모든 학생이 라면을 안 먹었다.","즉%2C 학생이 3명 있었는데 그 중에 0명이 라면을 먹은 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","LFN",16,"직원이 모든 가방을 팔지 않았다.","즉%2C 가방이 4개 있었는데 직원이 그 중에 3개 판 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Object","SFN",29,"고객이 모든 쿠폰을 안 사용했다.","즉%2C 쿠폰이 6개 있었는데 그 중에 3개를 사용한 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","SFN",27,"모든 후배가 과제를 안 냈다.","즉%2C 후배가 6명 있었는데 그 중에 0명이 낸 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","LFN",30,"모든 참가자가 추가서류를 내지 않았다.","즉%2C 참가자가 3명 있었는데 그 중에 0명이 낸 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","LFN",18,"모든 동료가 과자를 버리지 않았다.","즉%2C 동료가 5명 있었는데 그 중에 0명이 과자를 버린 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Subject","SFN",15,"모든 후배가 약을 안 버렸다.","즉%2C 후배가 4명 있었는데 그 중에 0명이 약을 버린 것이다.","surface"
"1732793692-0434de622a2a5228641a9136333433f2","Object","SFN",9,"참가자가 모든 콜라를 안 먹었다.","즉%2C 콜라가 3개 있었는데 참가자가 그 중에 2개 먹은 것이다.","inverse"
"1732793692-0434de622a2a5228641a9136333433f2","Object","LFN",8,"고객이 모든 의자를 사지 않았다.","즉%2C 의자가 3개 있었는데 고객이 그 중에 2개 산 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","LFN",14,"선배가 모든 과일을 먹지 않았다.","즉%2C 과일이 4개 있었는데 선배가 그 중에 3개 먹은 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","SFN",15,"후배가  모든 약을 안 버렸다.","즉%2C 약이 4개 있었는데 후배가 그 중에 0개 버린 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","SFN",25,"모든 선생님이 시험문제를 안 만들었다.","즉%2C 선생님이 7명 있었는데 그 중에 0명이 시험문제를 만든것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","LFN",26,"동료가 모든 워크샵에 오지 않았다.","즉%2C 워크샵이 7개 있었는데 그 중에 0곳에 온 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","LFN",12,"모든 선생님이 라면을 버리지 않았다.","즉%2C 선생님이 3명 있었는데 그 중에 0명이 라면을 버린 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","SFN",23,"친구가 모든 컵을 안 샀다.","즉%2C 컵이 7개 있었는데 친구가 그 중에 4개 산 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","SFN",3,"동료가 모든 상자를 안 버렸다.","즉%2C 상자가 10개 있었는데 동료가 그 중에 6개 버린 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","LFN",20,"모든 친구가 의자를 팔지 않았다.","즉%2C 친구가 3명 있었는데 그 중에 2명이 의자를 판 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","LFN",4,"모든 선배가 라면을 먹지 않았다.","즉%2C 선배가 8명 있었는데 그 중에 5명이 라면을 먹은 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","SFN",11,"학생이 모든 라면을 안 먹었다.","즉%2C 라면이 3개 있었는데 학생이 그 중에 2개 먹은 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","LFN",2,"선생님이 모든 옷을 사지 않았다.","즉%2C 옷이 10개 있었는데 선생님이 그 중에 6개 산 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","LFN",30,"참가자가 모든 추가서류를 내지 않았다.","즉%2C 추가서류가 3개 있었는데 그 중에 2개를 낸 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","LFN",18,"동료가 모든 과자를 버리지 않았다.","즉%2C 과자가 5개 있었는데 동료가 그 중에 3개 버린 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","LFN",16,"모든 직원이 가방을 팔지 않았다.","즉%2C 직원이 4명 있었는데 그 중에 3명이 가방을 판 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","LFN",28,"모든 직원이 회의록을 읽지 않았다.","즉%2C 직원이 6명 있었는데 그 중에 0명이 읽은 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","SFN",29,"모든 고객이 쿠폰을 안 사용했다.","즉%2C 고객이 6명 있었는데 그 중에 0명이 사용한 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","SFN",7,"손님이 모든 가방을 안 샀다.","즉%2C 가방이 8개 있었는데 손님이 그 중에 5개 산 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","LFN",8,"모든 고객이 의자를 사지 않았다.","즉%2C 고객이 3명 있었는데 그 중에 0명이 의자를 산 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","SFN",27,"후배가 모든 과제를 안 냈다.","즉%2C 과제가 6개 있었는데 그 중에 3개를 낸 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","SFN",13,"모든 동료가 포도를 안 버렸다.","즉%2C 동료가 4명 있었는데 그 중에 0명이 포도를 버린 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","SFN",19,"고객이 모든 상자를 안 샀다.","즉%2C 상자가 5개 있었는데 고객이 그 중에 3개 산 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","SFN",21,"모든 학생이 책을 안 읽었다.","즉%2C 학생이 3명 있었는데 그 중에 0명이 책을 읽은 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","SFN",1,"모든 학생이 약을 안 먹었다.","즉%2C 학생이 10명 있었는데 그 중에 0명이 약을 먹은 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","LFN",24,"모든 손님이 잡지를 읽지 않았다.","즉%2C 손님이 7명 있었는데 그 중에 0명이 잡지를 읽은 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","LFN",22,"선배가 모든 초콜릿을 먹지 않았다.","즉%2C 초콜릿이 3개 있었는데 선배가 그 중에 2개 먹은 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","LFN",6,"직원이 모든 신발을 팔지 않았다.","즉%2C 신발이 8켤레 있었는데 직원이 그 중에 5켤레 판 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","LFN",32,"모든 승무원이 안내문을 읽지 않았다.","즉%2C 승무원이 3명 있었는데 그 중에 2명이 읽은 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","SFN",9,"모든 참가자가 콜라를 안 먹었다.","즉%2C 참가자가 3명 있었는데 그 중에 0명이 콜라를 먹은 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","SFN",17,"모든 손님이 신발을 안 샀다.","즉%2C 손님이 5명 있었는데 그 중에 0명이 신발을 산 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Subject","SFN",5,"모든 후배가 과자를 안 먹었다.","즉%2C 후배가 8명 있었는데 그 중에 0명이 과자를 먹은 것이다.","surface"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","LFN",10,"친구가 모든 지우개를 사지 않았다.","즉%2C 지우개가 3개 있었는데 친구가 그 중에 2개 산 것이다.","inverse"
"1732794208-5849726c332edcaa2ee4c3660fd23257","Object","SFN",31,"상담원이 모든 전화를 안 받았다.","즉%2C 전화가 3통 왔었는데 그 중에 0통을 받은것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",31,"모든 상담원이 전화를 받지 않았다.","즉%2C 상담원이 3명 있었는데 그 중에 0명이 전화를 받은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",17,"손님이 모든 신발을 사지 않았다.","즉%2C 신발이 5켤레 있었는데 손님이 그 중에 0켤레 산 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",14,"선배가 모든 과일을 안 먹었다.","즉%2C 과일이 4개 있었는데 선배가 그 중에 0개 먹은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",10,"친구가 모든 지우개를 안 샀다.","즉%2C 지우개가 3개 있었는데 친구가 그 중에 0개 산 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",29,"고객이 모든 쿠폰을 사용하지 않았다.","즉%2C 쿠폰이 6개 있었는데 그 중에 0개를 사용한 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",3,"모든 동료가 상자를 버리지 않았다.","즉%2C 동료가 10명 있었는데 그 중에 0명이 상자를 버린 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",12,"모든 선생님이 라면을 안 버렸다.","즉%2C 선생님이 3명 있었는데 그 중에 0명이 라면을 버린 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",16,"모든 직원이 가방을 안 팔았다.","즉%2C 직원이 4명 있었는데 그 중에 0명이 가방을 판 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",27,"모든 후배가 과제를 내지 않았다.","즉%2C 후배가 6명 있었는데 그 중에 0명이 낸 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",19,"모든 고객이 상자를 사지 않았다.","즉%2C 고객이 5명 있었는데 그 중에 0명이 상자를 산 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",15,"모든 후배가 약을 버리지 않았다.","즉%2C 후배가 4명 있었는데 그 중에 0명이 약을 버린 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",5,"후배가 모든 과자를 먹지 않았다.","즉%2C 과자가 8개 있었는데 후배가 그 중에 0개 먹은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",26,"동료가 모든 워크샵에 안 왔다.","즉%2C 워크샵이 7개 있었는데 그 중에 0곳에 온 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",9,"참가자가 모든 콜라를 먹지 않았다.","즉%2C 콜라가 3개 있었는데 참가자가 그 중에 0개 먹은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",1,"학생이 모든 약을 먹지 않았다.","즉%2C 약이 10개 있었는데 학생이 그 중에 0개 먹은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",21,"학생이 모든 책을 읽지 않았다.","즉%2C 책이 3권 있었는데 학생이 그 중에 0권 읽은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",30,"참가자가 모든 추가서류를 안 냈다.","즉%2C 추가서류가 3개 있었는데 그 중에 0개를 낸 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",18,"동료가 모든 과자를 안 버렸다.","즉%2C 과자가 5개 있었는데 동료가 그 중에 0개 버린 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",25,"선생님이 모든 시험문제를 만들지 않았다.","즉%2C 시험문제가 7개 있었는데 그 중에 0개 만든것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",8,"모든 고객이 의자를 안 샀다.","즉%2C 고객이 3명 있었는데 그 중에 0명이 의자를 산 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",28,"모든 직원이 회의록을 안 읽었다.","즉%2C 직원이 6명 있었는데 그 중에 0명이 읽은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",23,"모든 친구가 컵을 사지 않았다.","즉%2C 친구가 7명 있었는데 그 중에 0명이 컵을 산 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",6,"직원이 모든 신발을 팔지 않았다.","즉%2C 신발이 8켤레 있었는데 직원이 그 중에 0켤레 판 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",24,"모든 손님이 잡지를 안 읽었다.","즉%2C 손님이 7명 있었는데 그 중에 0명이 잡지를 읽은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",32,"모든 승무원이 안내문을 안 읽었다.","즉%2C 승무원이 3명 있었는데 그 중에 0명이 읽은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",22,"선배가 모든 초콜릿을 안 먹었다.","NULL","NULL"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",4,"모든 선배가 라면을 안 먹었다.","즉%2C 선배가 8명 있었는데 그 중에 0명이 라면을 먹은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",11,"모든 학생이 라면을 먹지 않았다.","즉%2C 학생이 3명 있었는데 그 중에 0명이 라면을 먹은 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",20,"모든 친구가 의자를 안 팔았다.","즉%2C 친구가 3명 있었는데 그 중에 0명이 의자를 판 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",7,"모든 손님이 가방을 사지 않았다.","즉%2C 손님이 8명 있었는데 그 중에 0명이 가방을 산 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",2,"선생님이 모든 옷을 안 샀다.","즉%2C 옷이 10개 있었는데 선생님이 그 중에 0개 산 것이다.","surface"
"1732794437-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",13,"동료가 모든 포도를 버리지 않았다.","즉%2C 포도가 4송이 있었는데 동료가 그 중에 0송이 버린 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",12,"모든 선생님이 라면을 안 버렸다.","즉%2C 선생님이 3명 있었는데 그 중에 0명이 라면을 버린 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",13,"동료가 모든 포도를 버리지 않았다.","즉%2C 포도가 4송이 있었는데 동료가 그 중에 0송이 버린 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",30,"참가자가 모든 추가서류를 안 냈다.","즉%2C 추가서류가 3개 있었는데 그 중에 0개를 낸 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",7,"모든 손님이 가방을 사지 않았다.","즉%2C 손님이 8명 있었는데 그 중에 0명이 가방을 산 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",21,"학생이 모든 책을 읽지 않았다.","즉%2C 책이 3권 있었는데 학생이 그 중에 0권 읽은 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",6,"직원이 모든 신발을 팔지 않았다.","즉%2C 신발이 8켤레 있었는데 직원이 그 중에 0켤레 판 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Object","SFN",14,"선배가 모든 과일을 안 먹었다.","즉%2C 과일이 4개 있었는데 선배가 그 중에 0개 먹은 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Subject","LFN",31,"모든 상담원이 전화를 받지 않았다.","즉%2C 상담원이 3명 있었는데 그 중에 0명이 전화를 받은 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Subject","SFN",20,"모든 친구가 의자를 안 팔았다.","즉%2C 친구가 3명 있었는데 그 중에 0명이 의자를 판 것이다.","surface"
"1732794795-84227a79c1ea0df08ca9b793d7d1b09e","Object","LFN",5,"후배가 모든 과자를 먹지 않았다.","즉%2C 과자가 8개 있었는데 후배가 그 중에 0개 먹은 것이다.","surface"
