"Qtype","item","Position","Length","sentence","질문","답변","reading"
"Q1",114,"Object","LFN","참가자가 모든 옷을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 참가자가 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 참가자가 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",115,"Object","SFN","친구가 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 친구가 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 친구가 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",117,"Object","SFN","학생이 모든 지우개를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 학생이 그 중에 0개 산 것이다.
B: 즉, 지우개가 10개 있었는데 학생이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",119,"Object","SFN","선생님이 모든 지우개를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 선생님이 그 중에 0개 산 것이다.
B: 즉, 지우개가 10개 있었는데 선생님이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",123,"Object","SFN","선배가 모든 지우개를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 선배가 그 중에 0개 산 것이다.
B: 즉, 지우개가 10개 있었는데 선배가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",125,"Object","SFN","후배가 모든 지우개를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 후배가 그 중에 0개 산 것이다.
B: 즉, 지우개가 10개 있었는데 후배가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",127,"Object","SFN","직원이 모든 지우개를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 직원이 그 중에 0개 산 것이다.
B: 즉, 지우개가 10개 있었는데 직원이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",129,"Object","SFN","손님이 모든 지우개를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 손님이 그 중에 0개 산 것이다.
B: 즉, 지우개가 10개 있었는데 손님이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",131,"Object","SFN","고객이 모든 지우개를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 고객이 그 중에 0개 산 것이다.
B: 즉, 지우개가 10개 있었는데 고객이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",135,"Object","SFN","친구가 모든 지우개를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 친구가 그 중에 0개 산 것이다.
B: 즉, 지우개가 10개 있었는데 친구가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",137,"Object","SFN","학생이 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 학생이 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 학생이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",139,"Object","SFN","선생님이 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 선생님이 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 선생님이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",141,"Object","SFN","동료가 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 동료가 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 동료가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",143,"Object","SFN","선배가 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 선배가 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 선배가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",145,"Object","SFN","후배가 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 후배가 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 후배가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",147,"Object","SFN","직원이 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 직원이 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 직원이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",148,"Object","LFN","직원이 모든 가방을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 직원이 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 직원이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",149,"Object","SFN","손님이 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 손님이 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 손님이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",151,"Object","SFN","고객이 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 고객이 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 고객이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",152,"Object","LFN","고객이 모든 가방을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 고객이 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 고객이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",153,"Object","SFN","참가자가 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 참가자가 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 참가자가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",155,"Object","SFN","친구가 모든 가방을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 친구가 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 친구가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",156,"Object","LFN","친구가 모든 가방을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 친구가 그 중에 0개 산 것이다.
B: 즉, 가방이 10개 있었는데 친구가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",157,"Object","SFN","학생이 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 학생이 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 학생이 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",159,"Object","SFN","선생님이 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 선생님이 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 선생님이 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",160,"Object","LFN","선생님이 모든 신발을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 선생님이 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 선생님이 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",161,"Object","SFN","동료가 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 동료가 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 동료가 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",163,"Object","SFN","선배가 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 선배가 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 선배가 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",165,"Object","SFN","후배가 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 후배가 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 후배가 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",166,"Object","LFN","후배가 모든 신발을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 후배가 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 후배가 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",167,"Object","SFN","직원이 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 직원이 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 직원이 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",169,"Object","SFN","손님이 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 손님이 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 손님이 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",171,"Object","SFN","고객이 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 고객이 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 고객이 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",173,"Object","SFN","참가자가 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 참가자가 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 참가자가 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",174,"Object","LFN","참가자가 모든 신발을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 참가자가 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 참가자가 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",175,"Object","SFN","친구가 모든 신발을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 친구가 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 친구가 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",176,"Object","LFN","친구가 모든 신발을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 신발이 10켤레 있었는데 친구가 그 중에 0켤레 산 것이다.
B: 즉, 신발이 10켤레 있었는데 친구가 그 중에 5켤레 산 것이다.
답변:","A","surface"
"Q1",177,"Object","SFN","학생이 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 학생이 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 학생이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",179,"Object","SFN","선생님이 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 선생님이 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 선생님이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",181,"Object","SFN","동료가 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 동료가 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 동료가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",183,"Object","SFN","선배가 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 선배가 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 선배가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",185,"Object","SFN","후배가 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 후배가 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 후배가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",187,"Object","SFN","직원이 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 직원이 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 직원이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",189,"Object","SFN","손님이 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 손님이 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 손님이 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",193,"Object","SFN","참가자가 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 참가자가 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 참가자가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",195,"Object","SFN","친구가 모든 의자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 의자가 10개 있었는데 친구가 그 중에 0개 산 것이다.
B: 즉, 의자가 10개 있었는데 친구가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",215,"Object","SFN","친구가 모든 상자를 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 상자가 10개 있었는데 친구가 그 중에 0개 산 것이다.
B: 즉, 상자가 10개 있었는데 친구가 그 중에 5개 산 것이다.
답변:","A","surface"
"Q1",217,"Object","SFN","학생이 모든 옷을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 학생이 그 중에 0벌 판 것이다.
B: 즉, 옷이 10벌 있었는데 학생이 그 중에 5벌 판 것이다.
답변:","A","surface"
"Q1",219,"Object","SFN","선생님이 모든 옷을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 선생님이 그 중에 0벌 판 것이다.
B: 즉, 옷이 10벌 있었는데 선생님이 그 중에 5벌 판 것이다.
답변:","A","surface"
"Q1",227,"Object","SFN","직원이 모든 옷을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 직원이 그 중에 0벌 판 것이다.
B: 즉, 옷이 10벌 있었는데 직원이 그 중에 5벌 판 것이다.
답변:","A","surface"
"Q1",229,"Object","SFN","손님이 모든 옷을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 손님이 그 중에 0벌 판 것이다.
B: 즉, 옷이 10벌 있었는데 손님이 그 중에 5벌 판 것이다.
답변:","A","surface"
"Q1",231,"Object","SFN","고객이 모든 옷을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 고객이 그 중에 0벌 판 것이다.
B: 즉, 옷이 10벌 있었는데 고객이 그 중에 5벌 판 것이다.
답변:","A","surface"
"Q1",232,"Object","LFN","고객이 모든 옷을 팔지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 고객이 그 중에 0벌 판 것이다.
B: 즉, 옷이 10벌 있었는데 고객이 그 중에 5벌 판 것이다.
답변:","A","surface"
"Q1",233,"Object","SFN","참가자가 모든 옷을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 참가자가 그 중에 0벌 판 것이다.
B: 즉, 옷이 10벌 있었는데 참가자가 그 중에 5벌 판 것이다.
답변:","A","surface"
"Q1",235,"Object","SFN","친구가 모든 옷을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 친구가 그 중에 0벌 판 것이다.
B: 즉, 옷이 10벌 있었는데 친구가 그 중에 5벌 판 것이다.
답변:","A","surface"
"Q1",237,"Object","SFN","학생이 모든 지우개를 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 학생이 그 중에 0개 판 것이다.
B: 즉, 지우개가 10개 있었는데 학생이 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",243,"Object","SFN","선배가 모든 지우개를 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 선배가 그 중에 0개 판 것이다.
B: 즉, 지우개가 10개 있었는데 선배가 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",245,"Object","SFN","후배가 모든 지우개를 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 후배가 그 중에 0개 판 것이다.
B: 즉, 지우개가 10개 있었는데 후배가 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",247,"Object","SFN","직원이 모든 지우개를 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 직원이 그 중에 0개 판 것이다.
B: 즉, 지우개가 10개 있었는데 직원이 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",251,"Object","SFN","고객이 모든 지우개를 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 고객이 그 중에 0개 판 것이다.
B: 즉, 지우개가 10개 있었는데 고객이 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",255,"Object","SFN","친구가 모든 지우개를 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 지우개가 10개 있었는데 친구가 그 중에 0개 판 것이다.
B: 즉, 지우개가 10개 있었는데 친구가 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",257,"Object","SFN","학생이 모든 가방을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 학생이 그 중에 0개 판 것이다.
B: 즉, 가방이 10개 있었는데 학생이 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",261,"Object","SFN","동료가 모든 가방을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 동료가 그 중에 0개 판 것이다.
B: 즉, 가방이 10개 있었는데 동료가 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",271,"Object","SFN","고객이 모든 가방을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 고객이 그 중에 0개 판 것이다.
B: 즉, 가방이 10개 있었는데 고객이 그 중에 5개 판 것이다.
답변:","A","surface"
"Q1",273,"Object","SFN","참가자가 모든 가방을 안 팔았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 가방이 10개 있었는데 참가자가 그 중에 0개 판 것이다.
B: 즉, 가방이 10개 있었는데 참가자가 그 중에 5개 판 것이다.
답변:","A","surface"
